"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","nYears"
"Anderson",0,0,0,0,4,0,0,0,0,0,1
"Barger",2,3,3,3,0,3,4,5,3,4,9
"Barn",0,0,0,3,4,0,3,5,3,0,5
"BC1",4,2,3,0,0,0,0,0,0,0,3
"BC2",0,3,3,3,0,3,4,4,3,0,7
"Berm",0,0,0,0,0,0,3,5,3,4,4
"BermForb",0,0,0,0,0,0,0,3,3,4,3
"Best",0,0,0,0,0,0,3,3,2,0,3
"Bobcat",4,0,0,0,0,0,0,0,0,0,1
"Bramlett",0,0,0,0,0,0,0,0,3,0,1
"Bray1",0,0,0,0,0,0,0,0,3,0,1
"Bray2",0,0,0,0,0,0,0,0,2,0,1
"Butler",4,3,3,3,0,3,4,5,3,4,9
"Chamberlain",0,3,3,3,0,2,3,4,1,2,8
"CircleG",0,0,0,3,0,0,4,5,2,0,4
"CLBL",4,0,1,0,0,0,0,0,0,0,2
"CR101",0,0,0,0,0,0,3,5,3,0,3
"CR101Control",0,0,0,0,0,0,1,5,2,0,3
"CR29",0,0,0,0,0,0,4,3,2,0,3
"DQU",4,3,2,2,0,3,4,5,2,4,9
"Fong",0,0,1,4,4,2,4,5,3,0,7
"FongWest",0,0,0,0,0,0,4,5,3,0,3
"GC1",4,0,0,0,0,0,0,0,0,0,1
"Gilmer",0,0,0,0,0,0,4,4,0,2,3
"GilmerForb",0,0,0,0,0,0,0,5,5,4,3
"Gnoss",4,0,0,0,0,0,0,0,0,0,1
"Gregory",0,3,3,3,0,3,4,5,3,4,8
"H16",4,3,2,3,0,3,3,5,2,4,9
"Harlan",0,0,0,3,0,2,4,5,3,0,5
"Hatanaka",0,0,0,4,0,0,2,3,1,0,4
"Hays",0,0,0,0,0,0,3,0,0,0,1
"HC1",0,3,3,2,0,3,0,0,0,0,4
"Hrdy",0,3,3,3,0,3,4,5,3,4,8
"Joe",0,0,0,3,4,0,3,5,1,0,5
"Johnston",0,0,0,0,0,0,0,5,3,0,2
"Joost",0,0,0,0,4,0,0,0,0,0,1
"Loop",0,0,0,0,0,0,0,5,3,0,2
"Lowry",0,0,0,0,0,0,0,0,3,0,1
"Maria",0,0,0,0,0,0,0,5,2,0,2
"Mariani",0,0,0,0,0,0,3,0,0,0,1
"Martinez",0,0,0,0,0,0,4,5,3,0,3
"MC1",0,3,3,3,0,3,4,2,0,2,7
"MullerB",2,3,3,3,0,3,4,5,3,4,9
"MullerM",0,0,0,0,4,2,6,4,3,0,5
"Oakdale",0,0,0,0,0,0,4,5,0,0,2
"PurcellForb",0,0,0,0,0,0,0,5,5,4,3
"PutahCreek",0,0,0,0,0,0,4,5,3,4,4
"PutahCreekForb",0,0,0,0,0,0,0,5,5,4,3
"RLong",0,0,0,0,0,0,3,5,3,0,3
"Rock",4,0,0,0,0,0,0,0,0,0,1
"Rominger",0,0,0,4,4,2,4,5,3,3,7
"RomingerForb",0,0,0,0,0,0,0,5,5,4,3
"Roosevelt",0,0,0,0,0,0,0,1,0,0,1
"RSlough",0,0,0,0,0,0,3,5,3,0,3
"SHamilton",0,0,0,0,0,0,0,0,2,0,1
"Sperandio",0,3,3,3,0,3,4,5,1,3,8
"Spiva",0,3,3,3,0,3,2,4,2,0,7
"Tractor",0,0,0,3,0,1,4,5,3,0,5
"Turkovich",3,3,3,3,0,3,4,5,3,4,9
"USS",4,3,3,2,0,3,3,4,1,0,8
"Voelz",0,0,0,0,0,0,4,0,0,0,1
"YoloAirport",0,0,0,0,0,0,4,5,2,0,3
"Zamora",0,0,0,0,4,0,4,4,3,0,4
