"PlantPK","PlantGenus","PlantSpecies"
1,"",""
2,"Achillea","millefolium"
3,"Acmispon","americanus"
4,"Acmispon","glaber"
5,"Adenostoma","fasciculatum"
6,"Aesculus","californica"
7,"Aloysia","triphylla"
8,"Alyssum","sp."
9,"Ambrosia","sp."
10,"Ammi","visnaga"
11,"Amsinckia","intermedia"
12,"Anagallis","arvensis"
13,"Anthemis","cotula"
14,"Artemesia","sp."
15,"Artemisia","douglasii"
16,"Asclepias","curassavica"
17,"Asclepias","eriocarpa"
18,"Asclepias","fascicularis"
19,"Aster","chilensis"
20,"Atriplex","lentiformis"
21,"Baccharis","salicifolia"
22,"Brassica","sp."
23,"Brodiaea","elegans"
24,"Buddleja","davidii"
25,"Calendula","officinalis"
26,"Calystegia","purpurata"
27,"Capsella","bursa-pastoris"
28,"Carduus","pycnocephalus"
29,"Ceanothus","cuneatus"
30,"Ceanothus","hearstiorum"
31,"Ceanothus","sp."
32,"Centaurea","cyanus"
33,"Centaurea","solstitialis"
34,"Centromadia","parryi"
35,"Centromadia","pungens"
36,"Centromedia","pungens"
37,"Cephalanthus","occidentalis"
38,"Cercis","occidentalis"
39,"Chamaesyce","maculata"
40,"Chamomila","officinalis"
41,"Chenopodium","album"
42,"Chrysanthemum","sp."
43,"Cirsium","arvensis"
44,"Cirsium","vulgare"
45,"Cistus","purpureus"
46,"Cistus","skanbergii"
47,"Clarkia","purpurea"
48,"Clarkia","unguiculata"
49,"Clarkia","williamsonii"
50,"Convolvulus","arvensis"
51,"Coriandrum","sativum"
52,"Croton","setigerus"
53,"Cucurbita","pepo"
54,"Datura","wrightii"
55,"Daucus","carota"
56,"Descurainia","incana"
57,"Dipsacus","fullonum"
58,"Downingia","sp."
59,"Echinacea","purpurea"
60,"Elaeagnus","angustifolia"
61,"Epilobium","campestre"
62,"Epilobium","canum"
63,"Eremocarpus","setigerus"
64,"Erigeron","bonariensis"
65,"Erigeron","canadensis"
66,"Erigeron","sp."
67,"Eriodictyon","californica"
68,"Eriogonum","fasciculatum"
69,"Eriophyllum","lanatum"
70,"Erodium","cicutarium"
71,"Eschscholzia","californica"
72,"Euphorbia","peplus"
73,"Foeniculum","vulgare"
74,"Frangula","californica"
75,"Frangula","tomentella"
76,"Fremontodendron","californica"
77,"Geranium","dissectum"
78,"Grindelia","camporum"
79,"Grindelia","hirsutula"
80,"Helenium","puberulum"
81,"Helianthus","annuus"
82,"Helianthus","sp."
83,"Heliotropium","curassavicum"
84,"Hemizonia","fitchii"
85,"Heteromeles","arbutifolia"
86,"Hirschfeldia","incana"
87,"Holodiscus","discolor"
88,"Hypochaeris","glabra"
89,"Hypochaeris","radicata"
90,"Juglans","californica"
91,"Kickxia","elatine"
92,"Lactuca","serriola"
93,"Lasthenia","californica"
94,"Lavandula","officinalis"
95,"Layia","sp."
96,"Lepidium","latifolium"
97,"Linum","perenne"
98,"Lobularia","maritima"
99,"Lotus","corniculatus"
100,"Lotus","purshianus"
101,"Lupinus","sp."
102,"Lythrum","californicum"
103,"Malva","neglecta"
104,"Malva","parviflora"
105,"Malvella","leprosa"
106,"Marrubium","vulgare"
107,"Medicago","orbicularis"
108,"Medicago","polymorpha"
109,"Medicago","sativa"
110,"Melilotus","alba"
111,"Melilotus","officinalis"
112,"Mentzelia","laevicaulis"
113,"Mimulus","aurantiacus"
114,"Monardella","odoratissima"
115,"Navarretia","intertexta"
116,"Nemophila","heterophylla"
117,"Origanum","sp."
118,"Oxalis","sp."
119,"Pedicularis","densiflora"
120,"Penstemon","sp."
121,"Phacelia","californica"
122,"Phacelia","ciliata"
123,"Phacelia","sp."
124,"Phacelia","tanacetifolia"
125,"Physalis","philadelphica"
126,"Picris","echioides"
127,"Plantago","lanceolata"
128,"Plantago","major"
129,"Polycarpon","tetraphyllum"
130,"Polygonum","arenastrum"
131,"Polygonum","aviculare"
132,"Polygonum","lapathifolium"
133,"Portulaca","oleracea"
134,"Proboscidea","louisianica"
135,"Proboscidea","lutea"
136,"Prunus","ilicifolia"
137,"Punica","granatum"
138,"Quillaja","saponaria"
139,"Ranunculus","sp."
140,"Raphanus","raphanistrum"
141,"Rhamnus","californica"
142,"Rosa","californica"
143,"Rubus","armeniacus"
144,"Rubus","discolor"
145,"Rubus","ursinus"
146,"Salix","sp."
147,"Salsola","iberica"
148,"Salsola","tragus"
149,"Salvia","sp."
150,"Sambucus","mexicana"
151,"Senecio","vulgaris"
152,"Silybum","marianum"
153,"Solanum","americanum"
154,"Solanum","lycopersicum"
155,"Solanum","parishii"
156,"Solanum","rostratum"
157,"Sonchus","sp."
158,"Stachys","lanata"
159,"Symphoricarpos","mollis"
160,"Symphyotrichum","chilense"
161,"Symphyotrichum","chilensis"
162,"Torilis","arvensis"
163,"Torilis","nodosa"
164,"Tribulus","terrestris"
165,"Trichostema","lanatum"
166,"Trichostema","lanceolatum"
167,"Trifolium","incarnatum"
168,"Trifolium","pratense"
169,"Trifolium","repens"
170,"Vicia","americana"
171,"Vicia","villosa"
172,"Wyethia","glabra"
173,"Zauschneria","californica"
174,"Zinnia","elegans"
